iter	Passed	Remaining
0	122	122511
1	123	61587
2	124	41245
3	124	31063
4	125	24953
5	126	20888
6	126	17966
7	127	15782
8	127	14082
9	128	12722
10	129	11615
11	129	10690
12	130	9912
13	131	9244
14	131	8661
15	132	8153
16	133	7707
17	134	7310
18	134	6958
19	135	6639
20	136	6345
21	136	6080
22	137	5840
23	138	5619
24	138	5415
25	139	5228
26	140	5056
27	140	4891
28	141	4743
29	142	4602
30	142	4469
31	143	4343
32	144	4224
33	144	4112
34	145	4007
35	145	3908
36	146	3813
37	147	3725
38	147	3641
39	148	3561
40	149	3485
41	149	3413
42	150	3343
43	150	3277
44	151	3214
45	152	3153
46	152	3095
47	153	3039
48	153	2986
49	154	2935
50	155	2885
51	155	2838
52	156	2792
53	156	2747
54	157	2705
55	158	2663
56	158	2624
57	159	2587
58	159	2551
59	160	2515
60	161	2480
61	161	2446
62	162	2413
63	163	2391
64	164	2360
65	164	2330
66	165	2301
67	166	2275
68	166	2248
69	167	2221
70	167	2195
71	168	2171
72	169	2147
73	169	2123
74	170	2099
75	170	2077
76	171	2054
77	172	2033
78	172	2012
79	173	1991
80	173	1971
81	174	1951
82	174	1929
83	175	1910
84	175	1892
85	176	1875
86	177	1858
87	177	1841
88	178	1826
89	178	1809
90	179	1793
91	180	1777
92	180	1762
93	181	1747
94	181	1732
95	182	1717
96	182	1703
97	183	1689
98	184	1676
99	184	1664
100	185	1651
101	186	1638
102	186	1625
103	187	1614
104	187	1602
105	188	1590
106	189	1578
107	189	1566
108	190	1555
109	190	1544
110	191	1533
111	192	1523
112	192	1512
113	193	1501
114	193	1491
115	194	1481
116	194	1470
117	195	1460
118	195	1450
119	196	1441
120	197	1432
121	197	1422
122	198	1413
123	198	1404
124	199	1395
125	199	1387
126	200	1377
127	200	1369
128	201	1361
129	202	1352
130	202	1344
131	203	1337
132	203	1329
133	204	1321
134	205	1314
135	205	1306
136	206	1299
137	206	1292
138	207	1285
139	208	1278
140	208	1271
141	209	1263
142	209	1258
143	210	1251
144	211	1244
145	211	1238
146	212	1231
147	212	1224
148	213	1218
149	213	1212
150	214	1206
151	215	1200
152	215	1194
153	216	1188
154	216	1182
155	217	1176
156	218	1170
157	218	1165
158	219	1160
159	220	1155
160	220	1148
161	220	1143
162	221	1137
163	222	1133
164	222	1127
165	223	1122
166	224	1117
167	224	1112
168	225	1107
169	225	1102
170	226	1097
171	226	1092
172	227	1087
173	228	1083
174	228	1078
175	229	1074
176	230	1069
177	230	1065
178	231	1060
179	231	1055
180	232	1051
181	232	1047
182	233	1042
183	234	1038
184	234	1034
185	235	1029
186	235	1025
187	236	1021
188	237	1017
189	237	1013
190	238	1008
191	238	1004
192	239	1000
193	239	996
194	240	993
195	241	989
196	241	985
197	242	981
198	242	977
199	243	973
200	244	970
201	244	966
202	245	963
203	245	959
204	246	956
205	247	952
206	247	949
207	248	945
208	248	942
209	249	938
210	250	935
211	250	931
212	251	928
213	251	924
214	252	921
215	252	918
216	253	914
217	254	911
218	254	908
219	255	905
220	255	902
221	256	898
222	257	895
223	257	892
224	258	889
225	258	886
226	259	883
227	260	880
228	260	877
229	261	874
230	261	871
231	262	868
232	263	865
233	263	863
